date, rr, since start
2021-01-11 06:33:04 +0000, 759, 270844
2021-01-11 06:33:05 +0000, 900, 271744
2021-01-11 06:33:06 +0000, 1028, 272772
2021-01-11 06:33:07 +0000, 1061, 273833
2021-01-11 06:33:08 +0000, 1058, 274891
2021-01-11 06:33:09 +0000, 1036, 275927
2021-01-11 06:33:10 +0000, 985, 276912
2021-01-11 06:33:11 +0000, 918, 277830
2021-01-11 06:33:12 +0000, 829, 278659
2021-01-11 06:33:12 +0000, 764, 279423
2021-01-11 06:33:13 +0000, 743, 280166
2021-01-11 06:33:14 +0000, 772, 280938
2021-01-11 06:33:15 +0000, 974, 281912
2021-01-11 06:33:16 +0000, 1077, 282989
2021-01-11 06:33:17 +0000, 1096, 284085
2021-01-11 06:33:18 +0000, 1063, 285148
2021-01-11 06:33:19 +0000, 1024, 286172
2021-01-11 06:33:20 +0000, 1000, 287172
2021-01-11 06:33:21 +0000, 946, 288118
2021-01-11 06:33:22 +0000, 873, 288991
2021-01-11 06:33:22 +0000, 792, 289783
2021-01-11 06:33:23 +0000, 757, 290540
2021-01-11 06:33:24 +0000, 763, 291303
2021-01-11 06:33:25 +0000, 812, 292115
2021-01-11 06:33:26 +0000, 963, 293078
2021-01-11 06:33:27 +0000, 1010, 294088
2021-01-11 06:33:28 +0000, 1030, 295118
2021-01-11 06:33:29 +0000, 1009, 296127
2021-01-11 06:33:30 +0000, 995, 297122
2021-01-11 06:33:30 +0000, 985, 298107
2021-01-11 06:33:31 +0000, 930, 299037
2021-01-11 06:33:32 +0000, 866, 299903
2021-01-11 06:33:33 +0000, 805, 300708
2021-01-11 06:33:34 +0000, 774, 301482
2021-01-11 06:33:35 +0000, 792, 302274
2021-01-11 06:33:35 +0000, 856, 303130
2021-01-11 06:33:36 +0000, 1005, 304135
2021-01-11 06:33:37 +0000, 1060, 305195
2021-01-11 06:33:38 +0000, 1060, 306255
2021-01-11 06:33:39 +0000, 1042, 307297
2021-01-11 06:33:40 +0000, 1014, 308311
2021-01-11 06:33:41 +0000, 884, 309195
2021-01-11 06:33:42 +0000, 775, 309970
2021-01-11 06:33:43 +0000, 741, 310711
2021-01-11 06:33:44 +0000, 734, 311445
2021-01-11 06:33:44 +0000, 757, 312202
2021-01-11 06:33:45 +0000, 815, 313017
2021-01-11 06:33:46 +0000, 1030, 314047
2021-01-11 06:33:47 +0000, 1095, 315142
2021-01-11 06:33:48 +0000, 1112, 316254
2021-01-11 06:33:49 +0000, 1093, 317347
2021-01-11 06:33:50 +0000, 1072, 318419
2021-01-11 06:33:51 +0000, 1038, 319457
2021-01-11 06:33:52 +0000, 971, 320428
2021-01-11 06:33:53 +0000, 889, 321317
2021-01-11 06:33:54 +0000, 859, 322176
2021-01-11 06:33:55 +0000, 944, 323120
2021-01-11 06:33:56 +0000, 1099, 324219
2021-01-11 06:33:57 +0000, 1174, 325393
2021-01-11 06:33:58 +0000, 1185, 326578
2021-01-11 06:33:59 +0000, 1149, 327727
2021-01-11 06:34:01 +0000, 1127, 328854
2021-01-11 06:34:02 +0000, 1086, 329940
2021-01-11 06:34:03 +0000, 1015, 330955
2021-01-11 06:34:04 +0000, 959, 331914
2021-01-11 06:34:04 +0000, 926, 332840
2021-01-11 06:34:05 +0000, 985, 333825
2021-01-11 06:34:06 +0000, 1154, 334979
2021-01-11 06:34:08 +0000, 1211, 336190
2021-01-11 06:34:09 +0000, 1199, 337389
2021-01-11 06:34:10 +0000, 1151, 338540
2021-01-11 06:34:11 +0000, 1112, 339652
2021-01-11 06:34:12 +0000, 1030, 340682
2021-01-11 06:34:13 +0000, 939, 341621
2021-01-11 06:34:14 +0000, 843, 342464
2021-01-11 06:34:15 +0000, 842, 343306
2021-01-11 06:34:16 +0000, 984, 344290
2021-01-11 06:34:17 +0000, 1229, 345519
2021-01-11 06:34:18 +0000, 1245, 346764
2021-01-11 06:34:19 +0000, 1197, 347961
2021-01-11 06:34:20 +0000, 1143, 349104
2021-01-11 06:34:21 +0000, 1105, 350209
2021-01-11 06:34:22 +0000, 988, 351197
2021-01-11 06:34:23 +0000, 894, 352091
2021-01-11 06:34:24 +0000, 820, 352911
2021-01-11 06:34:25 +0000, 833, 353744
2021-01-11 06:34:26 +0000, 1074, 354818
2021-01-11 06:34:27 +0000, 1161, 355979
2021-01-11 06:34:28 +0000, 1177, 357156
